Order_ID,Order_Date,Dispatch_Date,Promised_Date,Delivery_Date,Distance_km,Vehicle_Type,Route_Code,Shipment_Weight_kg,Delivery_Time_hours,Transport_Cost
ORD1001,2026-08-01,2026-08-02,2026-08-04,2026-08-04,120,Truck,R01,35.5,36,850
ORD1002,2026-08-01,2026-08-02,2026-08-05,2026-08-06,185,Van,R02,42.8,52,1250
ORD1003,2026-08-02,2026-08-03,2026-08-06,2026-08-06,250,Truck,R03,65.2,70,1680
ORD1004,2026-08-02,2026-08-03,2026-08-06,2026-08-08,95,Van,R01,18.4,30,650
ORD1005,2026-08-03,2026-08-04,2026-08-07,2026-08-07,310,Truck,R04,80.0,76,2100
ORD1006,2026-08-03,2026-08-04,2026-08-08,2026-08-10,420,Truck,R05,95.5,105,2850
ORD1007,2026-08-04,2026-08-05,2026-08-09,2026-08-09,175,Van,R02,27.6,44,980
ORD1008,2026-08-04,2026-08-05,2026-08-09,2026-08-11,225,Truck,R03,51.2,62,1450
ORD1009,2026-08-05,2026-08-06,2026-08-10,2026-08-10,360,Truck,R04,72.4,82,2300
ORD1010,2026-08-05,2026-08-06,2026-08-11,2026-08-12,145,Van,R01,22.1,38,760
